date,BTC_RTN,BTC_RTN_LG1,BTC_RTN_LG2,ETH_RTN,ETH_RTN_LG1,ETH_RTN_LG2,XRP_RTN,XRP_RTN_LG1,XRP_RTN_LG2,BCH_RTN,BCH_RTN_LG1,BCH_RTN_LG2,BNP_RTN,BNP_RTN_LG1,BNP_RTN_LG2,LINK_RTN,LINK_RTN_LG1,LINK_RTN_LG2,LTC_RTN,LTC_RTN_LG1,LTC_RTN_LG2,ADA_RTN,ADA_RTN_LG1,ADA_RTN_LG2
11/16/2017,-0.07602308,-0.1024436,-0.01162587,0.007319331,0.01264704,-0.06602047,-0.066450347,-0.014921959,-0.031375036,0.2570274,0.04800044,0.05942434,-0.032679739,0.037735849,0.059171598,0.087983109,0.010504269,-0.02754669,-0.113444061,-0.01818762,-0.020846906,-0.042919266,-0.008196721,-0.016351519
11/17/2017,0.02066897,-0.07602308,-0.1024436,-0.004442165,0.007319331,0.01264704,0.002316089,-0.066450347,-0.014921959,-0.3160594,0.2570274,0.04800044,0.044303797,-0.032679739,0.037735849,0.059566096,0.087983109,0.010504269,0.049113425,-0.113444061,-0.01818762,0.065518492,-0.042919266,-0.008196721
11/18/2017,-0.01052792,0.02066897,-0.07602308,-0.0457895,-0.004442165,0.007319331,-0.009029883,0.002316089,-0.066450347,-0.05824649,-0.3160594,0.2570274,-0.105960265,0.044303797,-0.032679739,-0.070297966,0.059566096,0.087983109,-0.030634897,0.049113425,-0.113444061,-0.023124976,0.065518492,-0.042919266
11/19/2017,-0.03162203,-0.01052792,0.02066897,-0.0195047,-0.0457895,-0.004442165,-0.010449335,-0.009029883,0.002316089,0.06574572,-0.05824649,-0.3160594,0.035928144,-0.105960265,0.044303797,0.04985018,-0.070297966,0.059566096,-0.028001149,-0.030634897,0.049113425,-0.065038492,-0.023124976,0.065518492
11/20/2017,-0.02042551,-0.03162203,-0.01052792,-0.03482039,-0.0195047,-0.0457895,-0.033517159,-0.010449335,-0.009029883,-0.05457101,0.06574572,-0.05824649,-0.00621118,0.035928144,-0.105960265,0.001053254,0.04985018,-0.070297966,-0.009219165,-0.028001149,-0.030634897,-0.053304373,-0.065038492,-0.023124976
11/21/2017,0.0157768,-0.02042551,-0.03162203,0.0172607,-0.03482039,-0.0195047,0.022985521,-0.033517159,-0.010449335,0.04776663,-0.05457101,0.06574572,0.030864198,-0.00621118,0.035928144,0.04446212,0.001053254,0.04985018,0.030726644,-0.009219165,-0.028001149,0.04229066,-0.053304373,-0.065038492
11/22/2017,-0.02258508,0.0157768,-0.02042551,-0.05618757,0.0172607,-0.03482039,-0.023954971,0.022985521,-0.033517159,-0.1073435,0.04776663,-0.05457101,-0.025477707,0.030864198,-0.00621118,-0.08738998,0.04446212,0.001053254,-0.026560046,0.030726644,-0.009219165,-0.007730321,0.04229066,-0.053304373
11/23/2017,0.02602272,-0.02258508,0.0157768,-0.07755161,-0.05618757,0.0172607,-0.014833019,-0.023954971,0.022985521,-0.2919489,-0.1073435,0.04776663,0.037267081,-0.025477707,0.030864198,0.024514138,-0.08738998,0.04446212,-0.018500487,-0.026560046,0.030726644,0.038705384,-0.007730321,0.04229066
11/24/2017,-0.02673548,0.02602272,-0.02258508,-0.157837,-0.07755161,-0.05618757,-0.009240848,-0.014833019,-0.023954971,0.02096439,-0.2919489,-0.1073435,-0.109677419,0.037267081,-0.025477707,-0.17359962,0.024514138,-0.08738998,-0.064872986,-0.018500487,-0.026560046,-0.034178691,0.038705384,-0.007730321
11/25/2017,-0.06508961,-0.02673548,0.02602272,0.01817187,-0.157837,-0.07755161,-0.031683031,-0.009240848,-0.014833019,0.04685443,0.02096439,-0.2919489,-0.087209302,-0.109677419,0.037267081,0.062004655,-0.17359962,0.024514138,-0.139156086,-0.064872986,-0.018500487,-0.072757381,-0.034178691,0.038705384
11/26/2017,-0.06138492,-0.06508961,-0.02673548,-0.01083038,0.01817187,-0.157837,0.014164418,-0.031683031,-0.009240848,-0.1046224,0.04685443,0.02096439,0.010695187,-0.087209302,-0.109677419,-0.010659873,0.062004655,-0.17359962,0.032537717,-0.139156086,-0.064872986,-0.193286695,-0.072757381,-0.034178691
11/27/2017,-0.05227986,-0.06138492,-0.06508961,-0.01915855,-0.01083038,0.01817187,-0.02053308,0.014164418,-0.031683031,0.06515682,-0.1046224,0.04685443,-0.048648649,0.010695187,-0.087209302,-0.006998819,-0.010659873,0.062004655,-0.06598394,0.032537717,-0.139156086,-0.392518992,-0.193286695,-0.072757381
11/28/2017,-0.02448988,-0.05227986,-0.06138492,0.01553,-0.01915855,-0.01083038,-0.178102368,-0.02053308,0.014164418,0.04707957,0.06515682,-0.1046224,0.010309278,-0.048648649,0.010695187,0.042048564,-0.006998819,-0.010659873,-0.048362445,-0.06598394,0.032537717,-1.366809638,-0.392518992,-0.193286695
11/29/2017,0.01691946,-0.02448988,-0.05227986,0.0959611,0.01553,-0.01915855,0.187489972,-0.178102368,-0.02053308,0.1206005,0.04707957,0.06515682,0.088541667,0.010309278,-0.048648649,0.176670974,0.042048564,-0.006998819,0.108924294,-0.048362445,-0.06598394,0.250751603,-1.366809638,-0.392518992
11/30/2017,-0.03488754,0.01691946,-0.02448988,-0.04582241,0.0959611,0.01553,-0.032147912,0.187489972,-0.178102368,-0.02211506,0.1206005,0.04707957,-0.142857143,0.088541667,0.010309278,-0.173529311,0.176670974,0.042048564,-0.032254295,0.108924294,-0.048362445,-0.336220156,0.250751603,-1.366809638
12/1/2017,-0.07250626,-0.03488754,0.01691946,-0.04345692,-0.04582241,0.0959611,-0.019216512,-0.032147912,0.187489972,-0.05245436,-0.02211506,0.1206005,-0.035,-0.142857143,0.088541667,-0.043188765,-0.173529311,0.176670974,-0.120797011,-0.032254295,0.108924294,-0.095668277,-0.336220156,0.250751603
12/2/2017,-0.009020008,-0.07250626,-0.03488754,0.006623218,-0.04345692,-0.04582241,0.000809546,-0.019216512,-0.032147912,0.01893789,-0.05245436,-0.02211506,-0.004830918,-0.035,-0.142857143,-0.169128853,-0.043188765,-0.173529311,-0.012929293,-0.120797011,-0.032254295,-0.007605518,-0.095668277,-0.336220156
12/3/2017,-0.02244782,-0.009020008,-0.07250626,-0.005178539,0.006623218,-0.04345692,0.011483726,0.000809546,-0.019216512,-0.08707444,0.01893789,-0.05245436,-0.072115385,-0.004830918,-0.035,-0.109337271,-0.169128853,-0.043188765,-0.009772637,-0.012929293,-0.120797011,0.004110283,-0.007605518,-0.095668277
12/4/2017,-0.02949696,-0.02244782,-0.009020008,-0.009337783,-0.005178539,0.006623218,-0.00401096,0.011483726,0.000809546,-0.01089151,-0.08707444,0.01893789,-0.116591928,-0.072115385,-0.004830918,0.004544095,-0.109337271,-0.169128853,-0.029429192,-0.009772637,-0.012929293,-0.030825373,0.004110283,-0.007605518
12/5/2017,-0.02226092,-0.02949696,-0.02244782,0.01471717,-0.009337783,-0.005178539,0.029459205,-0.00401096,0.011483726,0.0476055,-0.01089151,-0.08707444,-0.044176707,-0.116591928,-0.072115385,-0.367173242,0.004544095,-0.109337271,0.017651573,-0.029429192,-0.009772637,0.061691323,-0.030825373,0.004110283
12/6/2017,-0.1992833,-0.02226092,-0.02949696,0.07487912,0.01471717,-0.009337783,0.055087139,0.029459205,-0.00401096,0.04777441,0.0476055,-0.01089151,0.003846154,-0.044176707,-0.116591928,0.07106924,-0.367173242,0.004544095,0.020019531,0.017651573,-0.029429192,0.075685555,0.061691323,-0.030825373
12/7/2017,-0.2524717,-0.1992833,-0.02226092,-0.01357943,0.07487912,0.01471717,0.041802842,0.055087139,0.029459205,0.06934474,0.04777441,0.0476055,-0.073359073,0.003846154,-0.044176707,0.108056384,0.07106924,-0.367173242,0.020528151,0.020019531,0.017651573,0.104702178,0.075685555,0.061691323
12/8/2017,0.07431962,-0.2524717,-0.1992833,-0.04976864,-0.01357943,0.07487912,-0.13150348,0.041802842,0.055087139,-0.1000804,0.06934474,0.04777441,-0.017985612,-0.073359073,0.003846154,0.057055186,0.108056384,0.07106924,-0.270220775,0.020528151,0.020019531,-0.094444602,0.104702178,0.075685555
12/9/2017,0.08396201,0.07431962,-0.2524717,-0.03830888,-0.04976864,-0.01357943,0.029417947,-0.13150348,0.041802842,0.03692975,-0.1000804,0.06934474,0.077738516,-0.017985612,-0.073359073,0.025963805,0.057055186,0.108056384,-0.243412095,-0.270220775,0.020528151,-0.035889664,-0.094444602,0.104702178
12/10/2017,-0.01826305,0.08396201,0.07431962,0.06711721,-0.03830888,-0.04976864,0.03013796,0.029417947,-0.13150348,0.06169249,0.03692975,-0.1000804,0.049808429,0.077738516,-0.017985612,-0.058775261,0.025963805,0.057055186,0.042385983,-0.243412095,-0.270220775,0.077987442,-0.035889664,-0.094444602
12/11/2017,-0.09585002,-0.01826305,0.08396201,-0.1662139,0.06711721,-0.03830888,-0.060497276,0.03013796,0.029417947,-0.07581614,0.06169249,0.03692975,-0.092741935,0.049808429,0.077738516,-0.030423333,-0.058775261,0.025963805,-0.440871788,0.042385983,-0.243412095,-0.100670106,0.077987442,-0.035889664
12/12/2017,-0.02825797,-0.09585002,-0.01826305,-0.2645688,-0.1662139,0.06711721,-0.484125376,-0.060497276,0.03013796,-0.1346443,-0.07581614,0.06169249,0.011070111,-0.092741935,0.049808429,0.11192976,-0.030423333,-0.058775261,-0.476003735,-0.440871788,0.042385983,-0.103045731,-0.100670106,0.077987442
12/13/2017,0.05783394,-0.02825797,-0.09585002,-0.07881127,-0.2645688,-0.1662139,-0.26107442,-0.484125376,-0.060497276,0.004569578,-0.1346443,-0.07581614,-0.037313433,0.011070111,-0.092741935,-0.131593957,0.11192976,-0.030423333,0.042889676,-0.476003735,-0.440871788,-0.002912817,-0.103045731,-0.100670106
12/14/2017,-0.0094953,0.05783394,-0.02825797,0.009889455,-0.07881127,-0.2645688,-0.834707884,-0.26107442,-0.484125376,-0.2229901,0.004569578,-0.1346443,-0.136690647,-0.037313433,0.011070111,-0.17804092,-0.131593957,0.11192976,0.076900198,0.042889676,-0.476003735,-0.792904432,-0.002912817,-0.103045731
12/15/2017,-0.06899906,-0.0094953,0.05783394,0.01634043,0.009889455,-0.07881127,0.12505684,-0.834707884,-0.26107442,0.07665271,-0.2229901,0.004569578,-0.265822785,-0.136690647,-0.037313433,-0.039837538,-0.17804092,-0.131593957,-0.073210898,0.076900198,0.042889676,0.113336075,-0.792904432,-0.002912817
12/16/2017,-0.1011188,-0.06899906,-0.0094953,-0.01718169,0.01634043,0.009889455,-0.003254512,0.12505684,-0.834707884,0.007463823,0.07665271,-0.2229901,-0.165,-0.265822785,-0.136690647,-0.064215865,-0.039837538,-0.17804092,0.002701981,-0.073210898,0.076900198,-0.895679426,0.113336075,-0.792904432
12/17/2017,0.0182896,-0.1011188,-0.06899906,-0.03412756,-0.01718169,0.01634043,0.039908152,-0.003254512,0.12505684,-0.03385353,0.007463823,0.07665271,-0.236051502,-0.165,-0.265822785,-0.223211958,-0.064215865,-0.039837538,-0.06606014,0.002701981,-0.073210898,-0.267742454,-0.895679426,0.113336075
12/18/2017,0.001389783,0.0182896,-0.1011188,-0.1037266,-0.03412756,-0.01718169,-0.068703097,0.039908152,-0.003254512,-0.1791634,-0.03385353,0.007463823,0.024305556,-0.236051502,-0.165,-0.041453941,-0.223211958,-0.064215865,-0.124309739,-0.06606014,0.002701981,-0.010110894,-0.267742454,-0.895679426
12/19/2017,0.06997416,0.001389783,0.0182896,-0.04048321,-0.1037266,-0.03412756,-0.016508074,-0.068703097,0.039908152,-0.2773554,-0.1791634,-0.03385353,-0.03024911,0.024305556,-0.236051502,-0.010229773,-0.041453941,-0.223211958,0.022576324,-0.124309739,-0.06606014,-0.025231668,-0.010110894,-0.267742454
12/20/2017,0.06480954,0.06997416,0.001389783,0.009349049,-0.04048321,-0.1037266,0.019327475,-0.016508074,-0.068703097,-0.3981554,-0.2773554,-0.1791634,0.105354059,-0.03024911,0.024305556,0.15149446,-0.010229773,-0.041453941,0.101727338,0.022576324,-0.124309739,0.084931852,-0.025231668,-0.010110894
12/21/2017,0.04942671,0.06480954,0.06997416,-0.002405072,0.009349049,-0.04048321,0.999846642,0.019327475,-0.016508074,0.1671905,-0.3981554,-0.2773554,0,0.105354059,-0.03024911,-0.138121117,0.15149446,-0.010229773,-0.009026762,0.101727338,0.022576324,0.017072885,0.084931852,-0.025231668
